from club,to club,league,player name,age,position,fee,transfer type,period,year,season,tranfer between
Gimnàstic de Tarragona,FC Barcelona,Primera Division,Nano,21,Centre-Back,NA,on loan,Summer,2006,2006/2007,local
Juventus FC,FC Barcelona,Primera Division,Gianluca Zambrotta,29,Right-Back,12.6M,sold,Summer,2006,2006/2007,international
Juventus FC,FC Barcelona,Primera Division,Lilian Thuram,34,Centre-Back,4.5M,sold,Summer,2006,2006/2007,international
RCD Mallorca,FC Barcelona,Primera Division,Fernando Navarro,24,Left-Back,NA,on loan,Summer,2006,2006/2007,local
Racing Santander,FC Barcelona,Primera Division,Damià,24,Right-Back,NA,on loan,Summer,2006,2006/2007,local
Real Betis Balompié,FC Barcelona,Primera Division,Óscar López,26,Right-Back,NA,on loan,Summer,2006,2006/2007,local
Sevilla FC,FC Barcelona,Primera Division,Javier Saviola,24,Second Striker,NA,on loan,Summer,2006,2006/2007,local
AS Monaco,FC Barcelona,Primera Division,Yaya Touré,24,Central Midfield,8.1M,sold,Summer,2007,2007/2008,international
Arsenal FC,FC Barcelona,Premier League,Thierry Henry,29,Centre-Forward,21.6M,sold,Summer,2007,2007/2008,international
Celta de Vigo,FC Barcelona,Primera Division,José Manuel Pinto,32,Goalkeeper,0.45M,on loan,Winter,2007,2007/2008,local
FC Barcelona,AS Roma,Serie A,Ludovic Giuly,30,Right Winger,4.05M,sold,Summer,2007,2007/2008,international
FC Barcelona,Atlético Madrid,Primera Division,Thiago Motta,24,Defensive Midfield,1.8M,sold,Summer,2007,2007/2008,local
FC Barcelona,Atlético de Madrid,Primera Division,Thiago Motta,24,Defensive Midfield,1.8M,sold,Summer,2007,2007/2008,local
FC Barcelona,Chelsea FC,Premier League,Juliano Belletti,31,Right-Back,4.95M,sold,Summer,2007,2007/2008,international
FC Barcelona,FC Barcelona,Primera Division,Giovani dos Santos,18,Second Striker,NA,sold,Summer,2007,2007/2008,local
FC Barcelona,FC Barcelona,Primera Division,Marc Crosas,19,Defensive Midfield,NA,sold,Summer,2007,2007/2008,local
FC Barcelona,FC Barcelona,Primera Division,Oier Olazábal,17,Goalkeeper,NA,sold,Summer,2007,2007/2008,local
FC Barcelona,FC Barcelona,Primera Division,Bojan Krkic,16,Second Striker,NA,sold,Summer,2007,2007/2008,local
FC Barcelona,FC Barcelona,Primera Division,Pedro,20,Central Midfield,NA,sold,Winter,2007,2007/2008,local
FC Barcelona,FC Moscow,Premier Liga,Maxi López,23,Centre-Forward,1.8M,sold,Summer,2007,2007/2008,international
FC Barcelona,Feyenoord Rotterdam,Primera Division,Giovanni van Bronckhorst,32,Left-Back,NA,sold,Summer,2007,2007/2008,international
FC Barcelona,Olympique Lyon,Primera Division,Marc Crosas,19,Defensive Midfield,NA,on loan,Winter,2007,2007/2008,international
FC Barcelona,Real Madrid,Primera Division,Javier Saviola,25,Second Striker,NA,sold,Summer,2007,2007/2008,local
Olympique Lyon,FC Barcelona,Primera Division,Éric Abidal,27,Left-Back,13.5M,sold,Summer,2007,2007/2008,international
RCD Mallorca,FC Barcelona,Primera Division,Maxi López,23,Centre-Forward,NA,on loan,Summer,2007,2007/2008,local
Real Zaragoza,FC Barcelona,Primera Division,Gabriel Milito,26,Centre-Back,18.0M,sold,Summer,2007,2007/2008,local
Arsenal FC,FC Barcelona,Premier League,Aleksandr Hleb,27,Attacking Midfield,15.3M,sold,Summer,2008,2008/2009,international
Celta de Vigo,FC Barcelona,Primera Division,José Manuel Pinto,32,Goalkeeper,NA,sold,Summer,2008,2008/2009,local
Desp. Brasil,FC Barcelona,Primera Division,Henrique,21,Centre-Back,7.2M,sold,Summer,2008,2008/2009,local
FC Barcelona,AC Milan,Serie A,Gianluca Zambrotta,31,Right-Back,9.45M,sold,Summer,2008,2008/2009,international
FC Barcelona,AC Milan,Serie A,Ronaldinho Gaúcho,28,Attacking Midfield,21.74M,sold,Summer,2008,2008/2009,international
FC Barcelona,Ajax Amsterdam,Primera Division,Oleguer,28,Centre-Back,2.7M,sold,Summer,2008,2008/2009,international
FC Barcelona,Bay. Leverkusen,Primera Division,Henrique,21,Centre-Back,0.36M,on loan,Summer,2008,2008/2009,international
FC Barcelona,Bayer 04 Leverkusen,1 Bundesliga,Henrique,21,Centre-Back,0.36M,on loan,Summer,2008,2008/2009,international
FC Barcelona,CA Osasuna,Primera Division,Santiago Ezquerro,31,Centre-Forward,NA,sold,Summer,2008,2008/2009,local
FC Barcelona,CD Numancia,Primera Division,Dimas Delgado,25,Central Midfield,NA,sold,Summer,2008,2008/2009,local
FC Barcelona,Celta de Vigo,Primera Division,José Manuel Pinto,32,Goalkeeper,NA,on loan,Summer,2008,2008/2009,local
FC Barcelona,Celtic,Primera Division,Marc Crosas,20,Defensive Midfield,0.486M,sold,Summer,2008,2008/2009,international
FC Barcelona,Chelsea FC,Premier League,Deco,30,Attacking Midfield,9.0M,sold,Summer,2008,2008/2009,international
FC Barcelona,FC Barcelona,Primera Division,Oier Olazábal,18,Goalkeeper,NA,sold,Summer,2008,2008/2009,local
FC Barcelona,FC Barcelona,Primera Division,Sergio Busquets,20,Defensive Midfield,NA,sold,Summer,2008,2008/2009,local
FC Barcelona,NAC Breda,Eredivisie,Enric Vallès,18,Central Midfield,NA,sold,Summer,2008,2008/2009,international
FC Barcelona,Retired,Primera Division,Lilian Thuram,36,Centre-Back,NA,sold,Summer,2008,2008/2009,international
FC Barcelona,Spurs,Primera Division,Giovani dos Santos,19,Second Striker,5.4M,sold,Summer,2008,2008/2009,international
FC Barcelona,Tottenham Hotspur,Premier League,Giovani dos Santos,19,Second Striker,5.4M,sold,Summer,2008,2008/2009,international
FC Barcelona,Villarreal CF,Primera Division,Edmílson,31,Defensive Midfield,NA,sold,Summer,2008,2008/2009,local
Man Utd,FC Barcelona,Primera Division,Gerard Piqué,21,Centre-Back,4.5M,sold,Summer,2008,2008/2009,international
Manchester United,FC Barcelona,Premier League,Gerard Piqué,21,Centre-Back,4.5M,sold,Summer,2008,2008/2009,international
Olympique Lyon,FC Barcelona,Primera Division,Marc Crosas,20,Defensive Midfield,NA,on loan,Summer,2008,2008/2009,international
Sevilla FC,FC Barcelona,Primera Division,Dani Alves,25,Right-Back,31.95M,sold,Summer,2008,2008/2009,local
Sevilla FC,FC Barcelona,Primera Division,Seydou Keita,28,Central Midfield,12.6M,sold,Summer,2008,2008/2009,local
Sporting Gijón,FC Barcelona,Primera Division,Jony López,21,Centre-Back,NA,on loan,Summer,2008,2008/2009,local
Villarreal CF,FC Barcelona,Primera Division,Martín Cáceres,21,Centre-Back,14.85M,sold,Summer,2008,2008/2009,local
Bay. Leverkusen,FC Barcelona,Primera Division,Henrique,22,Centre-Back,NA,on loan,Summer,2009,2009/2010,international
Bayer 04 Leverkusen,FC Barcelona,1 Bundesliga,Henrique,22,Centre-Back,NA,on loan,Summer,2009,2009/2010,international
Desp. Brasil,FC Barcelona,Primera Division,Keirrison,20,Centre-Forward,12.6M,sold,Summer,2009,2009/2010,local
FC Barcelona,AC Fiorentina,Primera Division,Keirrison,21,Centre-Forward,NA,on loan,Winter,2009,2009/2010,international
FC Barcelona,ACF Fiorentina,Serie A,Keirrison,21,Centre-Forward,NA,on loan,Winter,2009,2009/2010,international
FC Barcelona,AS Monaco,Primera Division,Eidur Gudjohnsen,30,Centre-Forward,1.8M,sold,Summer,2009,2009/2010,international
FC Barcelona,FC Barcelona,Primera Division,Jeffren,21,Right Winger,NA,sold,Summer,2009,2009/2010,local
FC Barcelona,FC Barcelona,Primera Division,Víctor Sánchez,21,Central Midfield,NA,sold,Summer,2009,2009/2010,local
FC Barcelona,FC Internazionale,Serie A,Samuel Eto'o,28,Centre-Forward,18.0M,sold,Summer,2009,2009/2010,international
FC Barcelona,Girona FC,Primera Division,Albert Jorquera,30,Goalkeeper,NA,sold,Summer,2009,2009/2010,local
FC Barcelona,Juventus FC,Serie A,Martín Cáceres,22,Centre-Back,0.45M,on loan,Summer,2009,2009/2010,international
FC Barcelona,Man City,Primera Division,Sylvinho,35,Left-Back,NA,sold,Summer,2009,2009/2010,international
FC Barcelona,Manchester City,Premier League,Sylvinho,35,Left-Back,NA,sold,Summer,2009,2009/2010,international
FC Barcelona,Málaga CF,Primera Division,Xavi Torres,22,Defensive Midfield,NA,sold,Summer,2009,2009/2010,local
FC Barcelona,Racing Santander,Primera Division,Henrique,22,Centre-Back,NA,on loan,Summer,2009,2009/2010,local
FC Barcelona,Real Zaragoza,Primera Division,Antonio Longás,24,Central Midfield,NA,on loan,Summer,2009,2009/2010,local
FC Barcelona,SL Benfica,Primera Division,Keirrison,20,Centre-Forward,NA,on loan,Summer,2009,2009/2010,international
FC Barcelona,Sporting Gijón,Primera Division,Jony López,22,Centre-Back,NA,on loan,Summer,2009,2009/2010,local
FC Barcelona,Sporting Gijón,Primera Division,Alberto Botía,20,Centre-Back,NA,on loan,Summer,2009,2009/2010,local
FC Barcelona,VfB Stuttgart,1 Bundesliga,Aleksandr Hleb,28,Attacking Midfield,1.8M,on loan,Summer,2009,2009/2010,international
FC Barcelona,Xerez CD,Primera Division,Víctor Sánchez,21,Central Midfield,NA,on loan,Summer,2009,2009/2010,local
FC Internazionale,FC Barcelona,Serie A,Zlatan Ibrahimovic,27,Centre-Forward,62.55M,sold,Summer,2009,2009/2010,international
FC Internazionale,FC Barcelona,Serie A,Maxwell,27,Left-Back,4.5M,sold,Summer,2009,2009/2010,international
SL Benfica,FC Barcelona,Primera Division,Keirrison,21,Centre-Forward,NA,on loan,Winter,2009,2009/2010,international
Shakhtar D.,FC Barcelona,Primera Division,Dmytro Chygrynskyi,22,Centre-Back,22.5M,sold,Summer,2009,2009/2010,international
AC Fiorentina,FC Barcelona,Primera Division,Keirrison,21,Centre-Forward,NA,on loan,Summer,2010,2010/2011,international
ACF Fiorentina,FC Barcelona,Serie A,Keirrison,21,Centre-Forward,NA,on loan,Summer,2010,2010/2011,international
FC Barcelona,AC Milan,Serie A,Zlatan Ibrahimovic,28,Centre-Forward,5.4M,on loan,Summer,2010,2010/2011,international
FC Barcelona,Birmingham City,Premier League,Aleksandr Hleb,29,Attacking Midfield,1.08M,on loan,Summer,2010,2010/2011,international
FC Barcelona,Blackburn Rovers,Premier League,Rubén Rochina,19,Right Winger,0.405M,sold,Winter,2010,2010/2011,international
FC Barcelona,FC Barcelona,Primera Division,Andreu Fontàs,21,Centre-Back,NA,sold,Winter,2010,2010/2011,local
FC Barcelona,Getafe CF,Primera Division,Víctor Sánchez,22,Central Midfield,NA,on loan,Summer,2010,2010/2011,local
FC Barcelona,Man City,Primera Division,Yaya Touré,27,Central Midfield,27.0M,sold,Summer,2010,2010/2011,international
FC Barcelona,Manchester City,Premier League,Yaya Touré,27,Central Midfield,27.0M,sold,Summer,2010,2010/2011,international
FC Barcelona,New York,Primera Division,Thierry Henry,32,Centre-Forward,NA,sold,Summer,2010,2010/2011,local
FC Barcelona,New York,Primera Division,Rafael Márquez,31,Centre-Back,NA,sold,Summer,2010,2010/2011,local
FC Barcelona,Santos FC,Primera Division,Keirrison,21,Centre-Forward,NA,on loan,Summer,2010,2010/2011,international
FC Barcelona,Sevilla FC,Primera Division,Martín Cáceres,23,Centre-Back,0.45M,on loan,Summer,2010,2010/2011,local
FC Barcelona,Shakhtar D.,Primera Division,Dmytro Chygrynskyi,23,Centre-Back,13.5M,sold,Summer,2010,2010/2011,international
FC Barcelona,Sporting Gijón,Primera Division,Alberto Botía,21,Centre-Back,NA,sold,Summer,2010,2010/2011,local
FC Barcelona,UD Almería,Primera Division,Miguel Ángel Luque,19,Central Midfield,NA,sold,Summer,2010,2010/2011,local
FC Barcelona,Vitesse Arnhem,Eredivisie,Martí Riverola,19,Central Midfield,NA,on loan,Winter,2010,2010/2011,international
Juventus FC,FC Barcelona,Serie A,Martín Cáceres,23,Centre-Back,NA,on loan,Summer,2010,2010/2011,international
Liverpool FC,FC Barcelona,Premier League,Javier Mascherano,26,Defensive Midfield,18.0M,sold,Summer,2010,2010/2011,international
PSV Eindhoven,FC Barcelona,Primera Division,Ibrahim Afellay,24,Left Midfield,2.7M,sold,Winter,2010,2010/2011,international
Sevilla FC,FC Barcelona,Primera Division,Adriano,25,Centre-Forward,8.55M,sold,Summer,2010,2010/2011,local
Sporting Gijón,FC Barcelona,Primera Division,Alberto Botía,21,Centre-Back,NA,on loan,Summer,2010,2010/2011,local
Valencia CF,FC Barcelona,Primera Division,David Villa,28,Centre-Forward,36.0M,sold,Summer,2010,2010/2011,local
VfB Stuttgart,FC Barcelona,1 Bundesliga,Aleksandr Hleb,29,Attacking Midfield,NA,on loan,Summer,2010,2010/2011,international
Xerez CD,FC Barcelona,Primera Division,Víctor Sánchez,22,Central Midfield,NA,on loan,Summer,2010,2010/2011,local
AC Milan,FC Barcelona,Serie A,Zlatan Ibrahimovic,29,Centre-Forward,NA,on loan,Summer,2011,2011/2012,international
Arsenal FC,FC Barcelona,Premier League,Cesc Fàbregas,24,Central Midfield,30.6M,sold,Summer,2011,2011/2012,international
Birmingham City,FC Barcelona,Primera Division,Aleksandr Hleb,30,Attacking Midfield,NA,on loan,Summer,2011,2011/2012,international
Cruzeiro,FC Barcelona,Primera Division,Keirrison,23,Centre-Forward,NA,on loan,Winter,2011,2011/2012,international
FC Barcelona,AC Milan,Serie A,Zlatan Ibrahimovic,29,Centre-Forward,21.6M,sold,Summer,2011,2011/2012,international
FC Barcelona,AS Roma,Serie A,Bojan Krkic,20,Second Striker,10.8M,sold,Summer,2011,2011/2012,international
FC Barcelona,Chelsea FC,Premier League,Oriol Romeu,19,Defensive Midfield,4.14M,sold,Summer,2011,2011/2012,international
FC Barcelona,Coritiba FC,Primera Division,Keirrison,23,Centre-Forward,NA,on loan,Winter,2011,2011/2012,international
FC Barcelona,Cruzeiro,Primera Division,Keirrison,22,Centre-Forward,NA,on loan,Summer,2011,2011/2012,international
FC Barcelona,FC Barcelona,Primera Division,Thiago,20,Centre-Forward,NA,sold,Summer,2011,2011/2012,local
FC Barcelona,FC Barcelona,Primera Division,Isaac Cuenca,20,Left Winger,NA,sold,Winter,2011,2011/2012,local
FC Barcelona,Independiente,Primera Division,Gabriel Milito,30,Centre-Back,NA,sold,Summer,2011,2011/2012,international
FC Barcelona,KS Samara,Primera Division,Aleksandr Hleb,30,Attacking Midfield,NA,sold,Winter,2011,2011/2012,international
FC Barcelona,Krylya Sovetov Samara,Premier Liga,Aleksandr Hleb,30,Attacking Midfield,NA,sold,Winter,2011,2011/2012,international
FC Barcelona,Neuchâtel Xamax,Primera Division,Víctor Sánchez,23,Central Midfield,NA,sold,Summer,2011,2011/2012,international
FC Barcelona,Palmeiras,Primera Division,Henrique,24,Centre-Back,NA,on loan,Summer,2011,2011/2012,international
FC Barcelona,Paris SG,Primera Division,Maxwell,30,Left-Back,3.15M,sold,Winter,2011,2011/2012,international
FC Barcelona,Paris Saint-Germain,Ligue 1,Maxwell,30,Left-Back,3.15M,sold,Winter,2011,2011/2012,international
FC Barcelona,Real Zaragoza,Primera Division,Abraham Minero,25,Left-Back,NA,sold,Summer,2011,2011/2012,local
FC Barcelona,Real Zaragoza,Primera Division,Edu Oriol,24,Right-Back,NA,sold,Summer,2011,2011/2012,local
FC Barcelona,SL Benfica,Liga Nos,Nolito,24,Left Winger,NA,sold,Summer,2011,2011/2012,international
FC Barcelona,Sevilla FC,Primera Division,Martín Cáceres,24,Centre-Back,2.7M,sold,Summer,2011,2011/2012,local
FC Barcelona,Sporting CP,Primera Division,Jeffren,23,Right Winger,3.38M,sold,Summer,2011,2011/2012,international
FC Barcelona,VfL Wolfsburg,1 Bundesliga,Aleksandr Hleb,30,Attacking Midfield,0.63M,on loan,Summer,2011,2011/2012,international
Getafe CF,FC Barcelona,Primera Division,Víctor Sánchez,23,Central Midfield,NA,on loan,Summer,2011,2011/2012,local
Racing Santander,FC Barcelona,Primera Division,Henrique,24,Centre-Back,NA,on loan,Summer,2011,2011/2012,local
Santos FC,FC Barcelona,Primera Division,Keirrison,22,Centre-Forward,NA,on loan,Summer,2011,2011/2012,international
Sevilla FC,FC Barcelona,Primera Division,Martín Cáceres,24,Centre-Back,NA,on loan,Summer,2011,2011/2012,local
Sevilla FC,FC Barcelona,Primera Division,Rodri Ríos,21,Centre-Forward,1.35M,sold,Summer,2011,2011/2012,local
Udinese Calcio,FC Barcelona,Serie A,Alexis Sánchez,22,Centre-Forward,23.4M,sold,Summer,2011,2011/2012,international
VfL Wolfsburg,FC Barcelona,1 Bundesliga,Aleksandr Hleb,30,Attacking Midfield,NA,on loan,Winter,2011,2011/2012,international
Vitesse Arnhem,FC Barcelona,Eredivisie,Martí Riverola,20,Central Midfield,NA,on loan,Summer,2011,2011/2012,international
Arsenal FC,FC Barcelona,Premier League,Alex Song,24,Defensive Midfield,17.1M,sold,Summer,2012,2012/2013,international
FC Barcelona,Ajax Amsterdam,Primera Division,Isaac Cuenca,21,Left Winger,NA,on loan,Winter,2012,2012/2013,international
FC Barcelona,Bologna FC 1909,Serie A,Martí Riverola,21,Central Midfield,NA,sold,Summer,2012,2012/2013,international
FC Barcelona,DL Aerbin,Primera Division,Seydou Keita,32,Central Midfield,NA,sold,Summer,2012,2012/2013,local
FC Barcelona,FC Barcelona,Primera Division,Cristian Tello,20,Left Winger,NA,sold,Summer,2012,2012/2013,local
FC Barcelona,FC Barcelona,Primera Division,Jonathan dos Santos,22,Central Midfield,NA,sold,Summer,2012,2012/2013,local
FC Barcelona,FC Barcelona,Primera Division,Marc Bartra,21,Centre-Back,NA,sold,Summer,2012,2012/2013,local
FC Barcelona,FC Barcelona,Primera Division,Martín Montoya,21,Right-Back,NA,sold,Summer,2012,2012/2013,local
FC Barcelona,FC Schalke 04,1 Bundesliga,Ibrahim Afellay,26,Left Midfield,0.45M,on loan,Summer,2012,2012/2013,international
FC Barcelona,Palmeiras,Primera Division,Henrique,25,Centre-Back,NA,sold,Summer,2012,2012/2013,international
FC Barcelona,RCD Mallorca,Primera Division,Andreu Fontàs,22,Centre-Back,NA,on loan,Summer,2012,2012/2013,local
FC Barcelona,RCD Mallorca,Primera Division,Rubén Miño,23,Goalkeeper,NA,sold,Summer,2012,2012/2013,local
FC Barcelona,Real Zaragoza,Primera Division,Rodri Ríos,22,Centre-Forward,NA,on loan,Winter,2012,2012/2013,local
FC Barcelona,Sheffield Wednesday,Championship,Rodri Ríos,22,Centre-Forward,NA,on loan,Summer,2012,2012/2013,international
Palmeiras,FC Barcelona,Primera Division,Henrique,25,Centre-Back,NA,on loan,Summer,2012,2012/2013,international
Sevilla FC,FC Barcelona,Primera Division,Luis Alberto,19,Central Midfield,0.18M,on loan,Summer,2012,2012/2013,local
Sheffield Wednesday,FC Barcelona,Championship,Rodri Ríos,22,Centre-Forward,NA,on loan,Winter,2012,2012/2013,international
Valencia CF,FC Barcelona,Primera Division,Jordi Alba,23,Left-Back,12.6M,sold,Summer,2012,2012/2013,local
AS Roma,FC Barcelona,Serie A,Bojan Krkic,22,Second Striker,11.7M,sold,Summer,2013,2013/2014,international
Ajax Amsterdam,FC Barcelona,Primera Division,Isaac Cuenca,22,Left Winger,NA,on loan,Summer,2013,2013/2014,international
FC Barcelona,AS Monaco,Primera Division,Éric Abidal,33,Left-Back,NA,sold,Summer,2013,2013/2014,international
FC Barcelona,Ajax Amsterdam,Primera Division,Bojan Krkic,22,Second Striker,NA,on loan,Summer,2013,2013/2014,international
FC Barcelona,Atlético Madrid,Primera Division,David Villa,31,Centre-Forward,1.89M,sold,Summer,2013,2013/2014,local
FC Barcelona,Atlético de Madrid,Primera Division,David Villa,31,Centre-Forward,1.89M,sold,Summer,2013,2013/2014,local
FC Barcelona,Bayern Munich,1 Bundesliga,Thiago,22,Centre-Forward,22.5M,sold,Summer,2013,2013/2014,international
FC Barcelona,Celta de Vigo,Primera Division,Rafinha,20,Right-Back,NA,on loan,Summer,2013,2013/2014,local
FC Barcelona,Celta de Vigo,Primera Division,Andreu Fontàs,23,Centre-Back,0.9M,sold,Summer,2013,2013/2014,local
FC Barcelona,Elche CF,Primera Division,David Lombán,26,Centre-Back,0.045M,sold,Summer,2013,2013/2014,local
FC Barcelona,Everton FC,Premier League,Gerard Deulofeu,19,Left Winger,NA,on loan,Summer,2013,2013/2014,international
FC Barcelona,FC Arouca,Liga Nos,Iván Balliu,21,Right-Back,NA,sold,Summer,2013,2013/2014,international
FC Barcelona,FC Barcelona,Primera Division,Oier Olazábal,23,Goalkeeper,NA,sold,Summer,2013,2013/2014,local
FC Barcelona,FC Barcelona,Primera Division,Sergi Roberto,21,Central Midfield,NA,sold,Summer,2013,2013/2014,local
FC Barcelona,FC Barcelona,Primera Division,Rafinha,20,Right-Back,NA,sold,Summer,2013,2013/2014,local
FC Barcelona,FC Barcelona,Primera Division,Gerard Deulofeu,19,Left Winger,NA,sold,Summer,2013,2013/2014,local
FC Barcelona,FC Bayern,Primera Division,Thiago,22,Centre-Forward,22.5M,sold,Summer,2013,2013/2014,international
FC Barcelona,Rio Ave FC,Liga Nos,Gus Ledes,20,Central Midfield,NA,sold,Summer,2013,2013/2014,international
FC Barcelona,Sevilla FC,Primera Division,Luis Alberto,20,Central Midfield,NA,on loan,Summer,2013,2013/2014,local
FC Barcelona,Stoke City,Premier League,Marc Muniesa,21,Centre-Back,NA,sold,Summer,2013,2013/2014,international
FC Barcelona,UD Almería,Primera Division,Rodri Ríos,23,Centre-Forward,NA,on loan,Summer,2013,2013/2014,local
FC Barcelona,US Sassuolo,Serie A,Antonio Sanabria,17,Centre-Forward,5.13M,sold,Winter,2013,2013/2014,international
FC Barcelona,Villarreal CF,Primera Division,Joan Román,20,Left Winger,NA,on loan,Winter,2013,2013/2014,local
FC Schalke 04,FC Barcelona,1 Bundesliga,Ibrahim Afellay,27,Left Midfield,NA,on loan,Summer,2013,2013/2014,international
RCD Mallorca,FC Barcelona,Primera Division,Andreu Fontàs,23,Centre-Back,NA,on loan,Summer,2013,2013/2014,local
Santos FC,FC Barcelona,Primera Division,Neymar,21,Left Winger,79.2M,sold,Summer,2013,2013/2014,international
Ajax Amsterdam,FC Barcelona,Primera Division,Bojan Krkic,23,Second Striker,NA,on loan,Summer,2014,2014/2015,international
Arsenal FC,FC Barcelona,Premier League,Thomas Vermaelen,28,Centre-Back,17.1M,sold,Summer,2014,2014/2015,international
Bor. M'gladbach,FC Barcelona,Primera Division,Marc-André ter Stegen,22,Goalkeeper,10.8M,sold,Summer,2014,2014/2015,international
Borussia Mönchengladbach,FC Barcelona,1 Bundesliga,Marc-André ter Stegen,22,Goalkeeper,10.8M,sold,Summer,2014,2014/2015,international
Celta de Vigo,FC Barcelona,Primera Division,Rafinha,21,Right-Back,NA,on loan,Summer,2014,2014/2015,local
Coritiba FC,FC Barcelona,Primera Division,Keirrison,25,Centre-Forward,NA,on loan,Summer,2014,2014/2015,international
Everton FC,FC Barcelona,Premier League,Gerard Deulofeu,20,Left Winger,NA,on loan,Summer,2014,2014/2015,international
FC Barcelona,Ajax Amsterdam,Eredivisie,André Onana,18,Goalkeeper,0.135M,sold,Winter,2014,2014/2015,international
FC Barcelona,Arsenal FC,Premier League,Alexis Sánchez,25,Centre-Forward,38.25M,sold,Summer,2014,2014/2015,international
FC Barcelona,Celta de Vigo,Primera Division,Carles Planas,23,Left-Back,NA,sold,Summer,2014,2014/2015,local
FC Barcelona,Celta de Vigo,Primera Division,Sergi Gómez,22,Centre-Back,0.09M,sold,Summer,2014,2014/2015,local
FC Barcelona,Chelsea FC,Premier League,Cesc Fàbregas,27,Central Midfield,29.7M,sold,Summer,2014,2014/2015,international
FC Barcelona,Coritiba FC,Primera Division,Keirrison,25,Centre-Forward,NA,sold,Summer,2014,2014/2015,international
FC Barcelona,Dep. La Coruña,Primera Division,Isaac Cuenca,23,Left Winger,NA,sold,Summer,2014,2014/2015,local
FC Barcelona,Deportivo de La Coruña,Primera Division,Isaac Cuenca,23,Left Winger,NA,sold,Summer,2014,2014/2015,local
FC Barcelona,FC Barcelona,Primera Division,Jordi Masip,25,Goalkeeper,NA,sold,Summer,2014,2014/2015,local
FC Barcelona,FC Barcelona,Primera Division,Denis Suárez,20,Attacking Midfield,NA,sold,Summer,2014,2014/2015,local
FC Barcelona,FC Porto,Primera Division,Cristian Tello,22,Left Winger,2.7M,on loan,Summer,2014,2014/2015,international
FC Barcelona,Granada CF,Primera Division,Oier Olazábal,24,Goalkeeper,NA,sold,Summer,2014,2014/2015,local
FC Barcelona,Olympiacos,Primera Division,Ibrahim Afellay,28,Left Midfield,NA,on loan,Summer,2014,2014/2015,international
FC Barcelona,Retired,Primera Division,Carles Puyol,36,Centre-Back,NA,sold,Summer,2014,2014/2015,international
FC Barcelona,Retired,Primera Division,José Manuel Pinto,38,Goalkeeper,NA,sold,Summer,2014,2014/2015,international
FC Barcelona,SD Eibar,Primera Division,Dani Nieto,23,Left Winger,0.135M,sold,Summer,2014,2014/2015,local
FC Barcelona,Sevilla FC,Primera Division,Denis Suárez,20,Attacking Midfield,NA,on loan,Summer,2014,2014/2015,local
FC Barcelona,Sevilla FC,Primera Division,Gerard Deulofeu,20,Left Winger,NA,on loan,Summer,2014,2014/2015,local
FC Barcelona,Stoke City,Premier League,Bojan Krkic,23,Second Striker,1.62M,sold,Summer,2014,2014/2015,international
FC Barcelona,Villarreal CF,Primera Division,Jonathan dos Santos,24,Central Midfield,1.35M,sold,Summer,2014,2014/2015,local
FC Barcelona,Villarreal CF,Primera Division,Javier Espinosa,21,Central Midfield,NA,sold,Summer,2014,2014/2015,local
FC Barcelona,West Ham United,Premier League,Alex Song,26,Defensive Midfield,NA,on loan,Summer,2014,2014/2015,international
FC Barcelona,Without Club,Primera Division,Víctor Valdés,32,Goalkeeper,NA,sold,Summer,2014,2014/2015,international
Liverpool FC,FC Barcelona,Premier League,Luis Suárez,27,Centre-Forward,73.55M,sold,Summer,2014,2014/2015,international
Real Sociedad,FC Barcelona,Primera Division,Claudio Bravo,31,Goalkeeper,10.8M,sold,Summer,2014,2014/2015,local
Sevilla FC,FC Barcelona,Primera Division,Ivan Rakitic,26,Central Midfield,16.2M,sold,Summer,2014,2014/2015,local
São Paulo,FC Barcelona,Primera Division,Douglas,24,Central Midfield,3.6M,sold,Summer,2014,2014/2015,international
UD Almería,FC Barcelona,Primera Division,Rodri Ríos,24,Centre-Forward,NA,on loan,Summer,2014,2014/2015,local
Valencia CF,FC Barcelona,Primera Division,Jérémy Mathieu,30,Centre-Back,18.0M,sold,Summer,2014,2014/2015,local
Villarreal CF,FC Barcelona,Primera Division,Joan Román,21,Left Winger,NA,on loan,Summer,2014,2014/2015,local
AS Monaco,FC Barcelona,Ligue 1,Borja López,21,Centre-Back,NA,sold,Winter,2015,2015/2016,international
Atlético Madrid,FC Barcelona,Primera Division,Arda Turan,28,Left Winger,30.6M,sold,Summer,2015,2015/2016,local
Atlético de Madrid,FC Barcelona,Primera Division,Arda Turan,28,Left Winger,30.6M,sold,Summer,2015,2015/2016,local
CD Tondela,FC Barcelona,Liga Nos,Salva Chamorro,25,attack,NA,sold,Winter,2015,2015/2016,international
FC Barcelona,AC Fiorentina,Primera Division,Cristian Tello,24,Left Winger,NA,on loan,Winter,2015,2015/2016,international
FC Barcelona,ACF Fiorentina,Serie A,Cristian Tello,24,Left Winger,NA,on loan,Winter,2015,2015/2016,international
FC Barcelona,Al-Sadd SC,Primera Division,Xavi,35,Central Midfield,NA,sold,Summer,2015,2015/2016,international
FC Barcelona,Aston Villa,Premier League,Adama Traoré,19,Second Striker,9.0M,sold,Summer,2015,2015/2016,international
FC Barcelona,Chelsea FC,Premier League,Pedro,28,Central Midfield,24.3M,sold,Summer,2015,2015/2016,international
