from club,to club,league,player name,age,position,fee,transfer type,period,year,season,tranfer between
CD Nacional,FC Groningen,Eredivisie,Luis Suárez,19,Centre-Forward,0.72M,sold,Summer,2006,2006/2007,international
FC Groningen,Ajax Amsterdam,Eredivisie,Luis Suárez,20,Centre-Forward,6.75M,sold,Summer,2007,2007/2008,local
Ajax Amsterdam,Liverpool FC,Premier League,Luis Suárez,24,Centre-Forward,23.85M,sold,Winter,2010,2010/2011,international
Liverpool FC,FC Barcelona,Premier League,Luis Suárez,27,Centre-Forward,73.55M,sold,Summer,2014,2014/2015,international
FC Barcelona,Atlético de Madrid,Primera Division,Luis Suárez,33,Centre-Forward,6.3M,sold,Summer,2020,2020/2021,local
Watford FC,Granada CF,Primera Division,Luis Suárez,22,Centre-Forward,6.3M,sold,Summer,2020,2020/2021,international
SL Benfica,Atlético de Madrid,Primera Division,João Félix,19,Second Striker,114.48M,sold,Summer,2019,2019/2020,international
River Plate,AC Parma,Serie A,Hernán Crespo,21,Centre-Forward,3.72M,sold,Summer,1996,1996/1997,local
AC Parma,SS Lazio,Serie A,Hernán Crespo,25,Centre-Forward,51.13M,sold,Summer,2000,2000/2001,local
SS Lazio,FC Internazionale,Serie A,Hernán Crespo,27,Centre-Forward,32.4M,sold,Summer,2002,2002/2003,local
FC Internazionale,Chelsea FC,Premier League,Hernán Crespo,28,Centre-Forward,23.4M,sold,Summer,2003,2003/2004,international
SL Benfica,Valencia CF,Primera Division,João Cancelo,21,Right-Back,13.5M,sold,Summer,2015,2015/2016,international
Valencia CF,Juventus FC,Serie A,João Cancelo,24,Right-Back,36.36M,sold,Summer,2018,2018/2019,international
Juventus FC,Man City,Serie A,João Cancelo,25,Right-Back,58.5M,sold,Summer,2019,2019/2020,international
Juventus FC,Manchester City,Premier League,João Cancelo,25,Right-Back,58.5M,sold,Summer,2019,2019/2020,international
EC Vitória,SL Benfica,Liga Nos,David Luiz,20,Centre-Back,0.45M,sold,Summer,2007,2007/2008,local
SL Benfica,Chelsea FC,Premier League,David Luiz,23,Centre-Back,22.5M,sold,Winter,2010,2010/2011,international
Chelsea FC,Paris Saint-Germain,Premier League,David Luiz,27,Centre-Back,44.55M,sold,Summer,2014,2014/2015,international
Paris Saint-Germain,Chelsea FC,Premier League,David Luiz,29,Centre-Back,31.5M,sold,Summer,2016,2016/2017,international
Chelsea FC,Arsenal FC,Premier League,David Luiz,32,Centre-Back,7.83M,sold,Summer,2019,2019/2020,local
Aston Villa,Man City,Premier League,Jack Grealish,25,Left Winger,105.75M,sold,Summer,2021,2021/2022,local
Aston Villa,Manchester City,Premier League,Jack Grealish,25,Left Winger,105.75M,sold,Summer,2021,2021/2022,local
Southampton FC,Spurs,Championship,Gareth Bale,17,Right Winger,13.23M,sold,Summer,2007,2007/2008,local
Southampton FC,Tottenham Hotspur,Premier League,Gareth Bale,17,Right Winger,13.23M,sold,Summer,2007,2007/2008,local
Spurs,Real Madrid,Primera Division,Gareth Bale,24,Right Winger,90.9M,sold,Summer,2013,2013/2014,international
Tottenham Hotspur,Real Madrid,Premier League,Gareth Bale,24,Right Winger,90.9M,sold,Summer,2013,2013/2014,international
